Gunung_ID,Nama_Gunung,Ketinggian_MDPL,Lokasi_Kabupaten_Utama,Tingkat_Kesulitan_Pendakian,Estimasi_Waktu_Pendakian_Jam,Harga_Tiket_Masuk,Rating_Rata_Rata,Deskripsi,Keunikan_Pemandangan,Fasilitas
15,Pandan,903,Madiun,Mudah,9,20000,3,"Termasuk dalam gugusan pegunungan Wilis. Jalurnya masih sangat alami, panjang, dan menantang. Jarang didaki.",Hutan Alami;Puncak Trio Liman-Wilis,Basecamp Sederhana
16,Penanggungan,1653,Mojokerto,Sedang,7,20000,4.1,"Dikenal sebagai 'miniatur Semeru' karena bentuknya. Treknya relatif singkat namun curam, dan sangat terkenal karena banyaknya situs peninggalan purbakala (candi) di sepanjang jalur pendakian.",Puncak Pawitra yang berbatu; Situs Candi di sepanjang lereng; Pemandangan Gunung Arjuno-Welirang,
17,Berungkal,1040,Lumajang,Mudah,7,20000,2.9,"Salah satu puncak di gugusan Pegunungan Wilis yang jarang terjamah. Jalurnya dikenal masih sangat alami, lebat, dan lebih cocok untuk pendaki berpengalaman yang mencari petualangan.",Hutan lebat dan perawan; Jalur yang masih sangat alami; Pemandangan puncak-puncak Pegunungan Wilis,
18,Penanjakan,2329,Pasuruan,Mudah,1,30000,4.6,"Bukan gunung pendakian, melainkan bukit dan titik pandang (viewpoint) terbaik di kawasan Bromo. Merupakan tujuan utama wisatawan untuk menyaksikan pemandangan matahari terbit dengan latar Gunung Bromo, Batok, dan Semeru.",Matahari terbit keemasan (Golden Sunrise); Lautan awan di Kaldera Tengger; Panorama trio gunung Bromo-Batok-Semeru,
19,Ranti,2601,Banyuwangi,Sedang,6,20000,3.3,"Berada di dekat Kawah Ijen, sering disebut sebagai ""saudara"" Ijen. Menawarkan pemandangan kaldera yang tak kalah indah dengan suasana yang lebih tenang dan jalur yang melewati hutan rapat.",Kaldera kawah yang eksotis; Pemandangan sisi lain dinding Kawah Ijen; Hutan hujan pegunungan yang rapat,
20,Suket,2950,Bondowoso,Sulit,8,30000,3.1,"Terletak di kompleks Ijen-Raung, daya tarik utamanya adalah padang sabana luas di puncaknya. Treknya menantang dan menjadi pilihan bagi mereka yang mencari keindahan tersembunyi.",Padang sabana yang sangat luas di dekat puncak; Pemandangan gagahnya Gunung Raung; Puncak berbentuk segitiga yang khas,
21,Argowayang,2162,Malang,Sedang,10,35000,3,"Salah satu puncak utama di Pegunungan Anjasmoro. Dikenal memiliki jalur yang panjang dan menantang, melintasi hutan lebat yang masih sangat asri dan jarang didaki.",Hutan lumut yang magis; Pemandangan puncak-puncak Pegunungan Anjasmoro; Lembah-lembah hutan yang masih alami,
22,Welirang,3156,Mojokerto,Sulit,25,33000,4,Gunung kembaran Arjuno yang terkenal dengan kawah belerangnya yang aktif. Pemandangan ikoniknya adalah para penambang belerang tradisional yang setiap hari naik-turun puncak.,"Kawah belerang aktif yang terus berasap; Aktivitas penambang belerang tradisional; Pemandangan puncak kembarannya, Gunung Arjuno",
23,Wilis,2563,Ponorogo,Sedang,14,15000,3.9,"Sebuah pegunungan luas dengan banyak puncak, bukan gunung tunggal. Dikenal memiliki hutan yang masih lebat, medan yang sulit, dan diselimuti aura mistis yang kuat.",Hamparan hutan hujan yang tak terbatas; Gugusan banyak puncak dalam satu pegunungan; Air terjun di beberapa jalur pendakian,
24,Betiri,1233,Jember,Mudah,7,30000,2.7,"Puncak tertinggi di dalam Taman Nasional Meru Betiri. Pendakiannya sendiri tidak populer; daya tarik utamanya adalah ekosistem taman nasional yang kaya, termasuk hutan hujan tropis dan pantai penyu.",Kanopi hutan hujan dataran rendah; Pemandangan garis pantai Laut Selatan; Keanekaragaman flora dan fauna langka,
25,Raung,3244,Bondowoso,Sulit,32,20000,4.6,"Memiliki kaldera terbesar di Pulau Jawa. Dikenal sebagai salah satu gunung paling ekstrim karena untuk mencapai puncak sejatinya, pendaki wajib menggunakan peralatan panjat tebing.",Kaldera raksasa yang sangat dalam dan spektakuler; Puncak Sejati di bibir kawah; Medan bebatuan tajam dan ekstrim,
26,Pegat,343,Blitar,Mudah,1,20000,3.2,Merupakan bukit atau puncak-puncak kecil yang tidak terlalu dikenal. Jalurnya tidak sepopuler gunung besar dan lebih sering didaki oleh warga atau komunitas lokal untuk latihan atau petualangan singkat.,Pegat & Bokong Pemandangan pedesaan dan persawahan khas lokal; Suasana yang tenang dan tidak ramai; Jalur setapak yang natural,
27,Bokong,1746,Batu,Mudah,2,25000,4.1,Merupakan bukit atau puncak-puncak kecil yang tidak terlalu dikenal. Jalurnya tidak sepopuler gunung besar dan lebih sering didaki oleh warga atau komunitas lokal untuk latihan atau petualangan singkat.,Pegat & Bokong Pemandangan pedesaan dan persawahan khas lokal; Suasana yang tenang dan tidak ramai; Jalur setapak yang natural,
28,Piramid,1521,Bondowoso,Sulit,6,20000,4.6,"Terkenal dengan puncaknya yang unik dan jalur punggungan super tipis yang sangat berbahaya, dikenal sebagai ""Punggung Naga"". Pendakian ini hanya untuk para ahli yang berpengalaman.","Jalur ""Punggung Naga"" yang super tipis; Jurang terjal di kedua sisi jalur; Pemandangan 360 derajat dari puncak",
29,Budeg,550,Tulungagung,Mudah,2,10000,3.3,"Sebuah bukit di Tulungagung yang populer untuk pendakian singkat. Jalurnya sangat pendek namun ekstrem curam, cocok untuk latihan fisik dengan bonus pemandangan kota dari puncak.",Pemandangan lanskap Kabupaten Tulungagung; Gemerlap lampu kota (citylight) di malam hari; Puncak berbatu yang curam,
